"OBJECTID,N,10,0","NAME,C,50","CLASS,C,4","NPU1,C,4","DISTRICT,C,8","ADDRESS,C,50","GIS_AC,N,19,11","ZIP,C,5","X_TRLPAV,N,4,0","X_TRLNPAV,N,4,0","PAVILIONS,N,11,0","PLAYGROUND,N,12,0","PIC_SHEL,N,9,0","GAZEBO,N,9,0","PICNICTABL,N,9,0","PARKGRILL1,N,12,0","RESTROOMS,C,11","PV_PRKSPAC,C,14","BALLFIELDS,N,9,0","SOCCER,C,13","TENNIS,N,9,0","TRL_NUM,C,9","TRL_LEN,C,9","BBALL,N,9,0","VOLLEYBALL,N,9,0","POOL,C,9","GYM,C,9","RECCEN,N,18,0","COVBB,N,4,0","DOGPARK,N,4,0","TRACK,N,4,0","NAT,N,4,0","GOLF,N,4,0","AREA_FIN,N,19,3","RECCTRNM,C,254","SHAPE_AREA,N,19,11"
1,Chattahoochee Trail,CN,D,9,Jackson Pkwy NW,51.69100000000,30318,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,49.187,,2257922.09278000000
2,Southside Park,R,Z,12,3460 Jonesboro Rd. SE,211.00000000000,30354,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,1,0,0,0,0,0,211.440,,9183217.48458000000
3,Herbert Taylor Park,N,F,6,1795 Johnson Rd. NE,28.36598019930,30306,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,26.000,,1139479.98805000000
4,Daniel Johnson Nature Preserve,NP,F,6,Beech Valley Rd NE,7.29499240884,30306,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.25,0,0,,0,0,0,0,0,0,0,8.000,,352511.75706000000
5,Lakewood Fairgrounds & HiFi Buys Amphitheater,SF,Y,12,"2002 LAKEWOOD WAY
",113.29803072200,30315,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,113.298,,4931159.21395000000
6,J. Allen Couch Park,N,E,2,"Hemphill Ave./Ferst St./6th St.
",6.40935953866,30318,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,6.409,,278963.34837000000
7,John C. Burdine Center,CC,Z,12,215 Lakewood Way SW,4.27232876368,30315,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,,0,0,0,0,0,0,4.272,,185948.55966000000
8,Stephanie Drive Park,G,P,11,Fairburn Rd./Stephanie Dr. SW,0.37316387521,30331,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.373,,16243.86918000000
9,Inman Park Trolley Barn,SF,N,2,"963 Edgewood Ave NE
",0.74246154780,30307,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,0.742,,32313.32902000000
10,Green Leaf Circle,G,T,4,Next to 202 Napolean Dr.SW (off Westview Dr.),0.99024335340,30310,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.990,,43100.99074000000
11,Benton Place Garden,G,A,8,Benton Place at Rilman Dr. NW,0.03548842125,30327,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.035,,1544.64797000000
12,Boulevard-Angier Park,G,M,2,Blvd/Angier Ave. NE,0.18045642686,30312,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.180,,7853.95854000000
13,Charles Allen Median,G,E,6,Charles Allen Dr. NE,0.32462447034,30308,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.325,,14128.55728000000
14,Mayor's #1 Park,G,M,2,Peachtree St./Ralph McGill Blvd. NE,0.22173888544,30308,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.222,,9650.83481000000
15,Folk Art (Courtland) Park,G,M,2,both sides of Courtland St. at Ralph McGill Ave.,0.49536644030,30308,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,0.495,,21560.02764000000
16,Folk Art (Piedmont) Park,G,M,2,both sides of Courtland St. at Ralph McGill Ave.,0.30356676380,30308,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,0.495,,13212.24823000000
17,Glenwood Triangle,G,O,5,Wilkinson Dr./Glenwood Ave./I-20,0.05083203240,30317,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.051,,2212.22703000000
